nhs_name,date,sgtfv
North West,2020-08-05,2.22491244462082e-05
North West,2020-08-06,2.47314212098517e-05
North West,2020-08-07,2.74907203210579e-05
North West,2020-08-08,3.05579381279277e-05
North West,2020-08-09,3.39674419251115e-05
North West,2020-08-10,3.77574351401221e-05
North West,2020-08-11,4.19703854983827e-05
North West,2020-08-12,4.66535009577995e-05
North West,2020-08-13,5.18592587364156e-05
North West,2020-08-14,5.76459933484078e-05
North West,2020-08-15,6.40785502207741e-05
North West,2020-08-16,7.12290121926555e-05
North West,2020-08-17,7.91775070092345e-05
North West,2020-08-18,8.80131048212594e-05
North West,2020-08-19,9.78348156991031e-05
North West,2020-08-20,0.000108752698277481
North West,2020-08-21,0.000120889091875267
North West,2020-08-22,0.000134379985797125
North West,2020-08-23,0.000149376541034193
North West,2020-08-24,0.0001660467812553
North West,2020-08-25,0.000184577471835429
North West,2020-08-26,0.000205176207723029
North West,2020-08-27,0.000228073733222834
North West,2020-08-28,0.000253526519288576
North West,2020-08-29,0.000281819626704541
North West,2020-08-30,0.000313269886612996
North West,2020-08-31,0.000348229433244522
North West,2020-09-01,0.000387089627461187
North West,2020-09-02,0.000430285413861286
North West,2020-09-03,0.000478300158754407
North West,2020-09-04,0.000531671021334217
North West,2020-09-05,0.000590994915892982
North West,2020-09-06,0.000656935128977445
North West,2020-09-07,0.000730228662022401
North West,2020-09-08,0.000811694377258954
North West,2020-09-09,0.000902242032621307
