LAD20CD,LAD20NM,CTYUA20CD,CTYUA20NM,GOV_NM,RGN19CD,RGN19NM,CTRY19CD,CTRY19NM,Tier
E07000134,North West Leicestershire,E10000018,Leicestershire,Leicester and Leicestershire,E12000004,East Midlands,E92000001,England,3
E07000135,Oadby and Wigston,E10000018,Leicestershire,Leicester and Leicestershire,E12000004,East Midlands,E92000001,England,3
E07000136,Boston,E10000019,Lincolnshire,Lincolnshire,E12000004,East Midlands,E92000001,England,3
E07000137,East Lindsey,E10000019,Lincolnshire,Lincolnshire,E12000004,East Midlands,E92000001,England,3
E07000138,Lincoln,E10000019,Lincolnshire,Lincolnshire,E12000004,East Midlands,E92000001,England,3
E07000139,North Kesteven,E10000019,Lincolnshire,Lincolnshire,E12000004,East Midlands,E92000001,England,3
E07000140,South Holland,E10000019,Lincolnshire,Lincolnshire,E12000004,East Midlands,E92000001,England,3
E07000141,South Kesteven,E10000019,Lincolnshire,Lincolnshire,E12000004,East Midlands,E92000001,England,3
E07000142,West Lindsey,E10000019,Lincolnshire,Lincolnshire,E12000004,East Midlands,E92000001,England,3
E07000143,Breckland,E10000020,Norfolk,Norfolk,E12000006,East of England,E92000001,England,2
E07000144,Broadland,E10000020,Norfolk,Norfolk,E12000006,East of England,E92000001,England,2
E07000145,Great Yarmouth,E10000020,Norfolk,Norfolk,E12000006,East of England,E92000001,England,2
E07000146,King's Lynn and West Norfolk,E10000020,Norfolk,Norfolk,E12000006,East of England,E92000001,England,2
E07000147,North Norfolk,E10000020,Norfolk,Norfolk,E12000006,East of England,E92000001,England,2
E07000148,Norwich,E10000020,Norfolk,Norfolk,E12000006,East of England,E92000001,England,2
E07000149,South Norfolk,E10000020,Norfolk,Norfolk,E12000006,East of England,E92000001,England,2
E07000150,Corby,E10000021,Northamptonshire,Northamptonshire,E12000004,East Midlands,E92000001,England,2
E07000151,Daventry,E10000021,Northamptonshire,Northamptonshire,E12000004,East Midlands,E92000001,England,2
E07000152,East Northamptonshire,E10000021,Northamptonshire,Northamptonshire,E12000004,East Midlands,E92000001,England,2
