date,nhs_name,sgtf,other
2020-11-17,London,253,1235
2020-11-17,Midlands,89,3748
2020-11-17,North East and Yorkshire,143,4335
2020-11-17,North West,28,2396
2020-11-17,South East,341,969
2020-11-17,South West,34,562
2020-11-18,East of England,109,527
2020-11-18,London,249,1130
2020-11-18,Midlands,94,3405
2020-11-18,North East and Yorkshire,91,3184
2020-11-18,North West,24,1960
2020-11-18,South East,329,897
2020-11-18,South West,22,360
2020-11-19,East of England,104,421
2020-11-19,London,234,1038
2020-11-19,Midlands,52,2936
2020-11-19,North East and Yorkshire,72,2705
2020-11-19,North West,24,1580
2020-11-19,South East,288,672
2020-11-19,South West,17,350
2020-11-20,East of England,72,356
2020-11-20,London,221,959
2020-11-20,Midlands,70,2731
2020-11-20,North East and Yorkshire,66,2276
2020-11-20,North West,18,1520
2020-11-20,South East,305,674
2020-11-20,South West,29,307
2020-11-21,East of England,68,319
2020-11-21,London,182,698
2020-11-21,Midlands,59,1995
2020-11-21,North East and Yorkshire,40,1665
2020-11-21,North West,17,1083
2020-11-21,South East,295,565
2020-11-21,South West,19,215
2020-11-22,East of England,98,359
2020-11-22,London,201,701
2020-11-22,Midlands,62,1900
2020-11-22,North East and Yorkshire,42,1540
2020-11-22,North West,16,1086
2020-11-22,South East,251,547
2020-11-22,South West,13,158
2020-11-23,East of England,145,385
2020-11-23,London,336,1012
2020-11-23,Midlands,87,2796
2020-11-23,North East and Yorkshire,68,2257
2020-11-23,North West,29,1633
2020-11-23,South East,472,662
2020-11-23,South West,31,319
2020-11-24,East of England,111,316
2020-11-24,London,319,885
2020-11-24,Midlands,70,2320
2020-11-24,North East and Yorkshire,56,1784
2020-11-24,North West,24,1360
2020-11-24,South East,319,484
2020-11-24,South West,16,208
2020-11-25,East of England,130,377
2020-11-25,London,401,856
2020-11-25,Midlands,88,2356
2020-11-25,North East and Yorkshire,60,1824
2020-11-25,North West,37,1373
2020-11-25,South East,420,526
2020-11-25,South West,23,232
2020-11-26,East of England,157,369
2020-11-26,London,385,710
2020-11-26,Midlands,88,2033
2020-11-26,North East and Yorkshire,48,1604
2020-11-26,North West,17,1162
2020-11-26,South East,384,476
2020-11-26,South West,28,231
2020-11-27,East of England,146,411
2020-11-27,London,462,795
2020-11-27,Midlands,54,1822
2020-11-27,North East and Yorkshire,72,1482
2020-11-27,North West,26,1077
2020-11-27,South East,515,563
2020-11-27,South West,15,232
2020-11-28,East of England,81,215
2020-11-28,London,342,647
2020-11-28,Midlands,77,1455
2020-11-28,North East and Yorkshire,47,1174
2020-11-28,North West,17,908
2020-11-28,South East,385,398
2020-11-28,South West,23,134
2020-11-29,East of England,117,200
2020-11-29,London,351,615
2020-11-29,Midlands,62,1338
2020-11-29,North East and Yorkshire,34,1152
2020-11-29,North West,22,768
2020-11-29,South East,432,303
2020-11-29,South West,18,141
2020-11-30,East of England,270,427
2020-11-30,London,621,920
2020-11-30,Midlands,121,2093
2020-11-30,North East and Yorkshire,74,1844
2020-11-30,North West,24,1357
2020-11-30,South East,650,489
2020-11-30,South West,28,213
2020-12-01,East of England,249,438
2020-12-01,London,650,811
2020-12-01,Midlands,136,1813
2020-12-01,North East and Yorkshire,69,1541
2020-12-01,North West,28,1164
2020-12-01,South East,568,546
2020-12-01,South West,25,186
2020-12-02,East of England,280,383
2020-12-02,London,701,852
2020-12-02,Midlands,150,1699
2020-12-02,North East and Yorkshire,86,1413
2020-12-02,North West,37,1022
2020-12-02,South East,657,499
2020-12-02,South West,18,156
2020-12-03,East of England,271,374
2020-12-03,London,624,690
2020-12-03,Midlands,128,1648
2020-12-03,North East and Yorkshire,72,1218
2020-12-03,North West,31,945
2020-12-03,South East,663,474
2020-12-03,South West,25,178
2020-12-04,East of England,252,300
2020-12-04,London,536,536
2020-12-04,Midlands,135,1636
2020-12-04,North East and Yorkshire,81,958
2020-12-04,North West,40,930
2020-12-04,South East,626,488
2020-12-04,South West,32,196
2020-12-05,East of England,354,350
2020-12-05,London,790,723
2020-12-05,Midlands,136,1391
2020-12-05,North East and Yorkshire,51,803
2020-12-05,North West,43,739
2020-12-05,South East,790,452
2020-12-05,South West,29,143
2020-12-06,East of England,446,383
2020-12-06,London,907,829
2020-12-06,Midlands,160,1461
2020-12-06,North East and Yorkshire,80,842
2020-12-06,North West,36,842
2020-12-06,South East,861,480
2020-12-06,South West,33,130
2020-12-07,East of England,665,422
2020-12-07,London,1316,1004
2020-12-07,Midlands,252,2017
2020-12-07,North East and Yorkshire,125,1411
2020-12-07,North West,77,1195
