"NHS.region","Start.date","End.date","Central.estimate","Lower.bound","Upper.bound","Test","Median.mean","Min.age","Max.age","Data.source","N.tests"
"North West","05 November 2020","05 November 2020","2.27378876953969%","2.07732736117075%","2.48080975723828%","","","","","ONS-CIS",""
"North West","06 November 2020","06 November 2020","2.25831229149203%","2.0651957403928%","2.46185122796618%","","","","","ONS-CIS",""
"North West","07 November 2020","07 November 2020","2.23528352240183%","2.04902127673498%","2.4335914630979%","","","","","ONS-CIS",""
"North West","08 November 2020","08 November 2020","2.20573142059436%","2.0194371977442%","2.40229128991882%","","","","","ONS-CIS",""
"North West","09 November 2020","09 November 2020","2.17084320979755%","1.98219976858142%","2.3651398446553%","","","","","ONS-CIS",""
"North West","10 November 2020","10 November 2020","2.13188944226403%","1.94138940432608%","2.32567682667193%","","","","","ONS-CIS",""
"North West","11 November 2020","11 November 2020","2.09016465226216%","1.89901441155002%","2.28453469049416%","","","","","ONS-CIS",""
"North West","12 November 2020","12 November 2020","2.04693265785797%","1.85634939282105%","2.24343603275699%","","","","","ONS-CIS",""
"North West","13 November 2020","13 November 2020","2.00336600992687%","1.81774915661634%","2.1975124273081%","","","","","ONS-CIS",""
"North West","14 November 2020","14 November 2020","1.9604758869088%","1.78138613606857%","2.15053022131223%","","","","","ONS-CIS",""
"North West","15 November 2020","15 November 2020","1.91903823950221%","1.7439729094551%","2.10412335238256%","","","","","ONS-CIS",""
"North West","16 November 2020","16 November 2020","1.87952997410009%","1.7084489547064%","2.0606639500299%","","","","","ONS-CIS",""
"North West","17 November 2020","17 November 2020","1.842092326943%","1.67555097343627%","2.01930237151031%","","","","","ONS-CIS",""
"North West","18 November 2020","18 November 2020","1.80653620185875%","1.64348894328339%","1.9832860515043%","","","","","ONS-CIS",""
"North West","19 November 2020","19 November 2020","1.77239681804992%","1.60986134340332%","1.94667611174129%","","","","","ONS-CIS",""
"North West","20 November 2020","20 November 2020","1.73903435439443%","1.57292909120787%","1.91246922443151%","","","","","ONS-CIS",""
"North West","21 November 2020","21 November 2020","1.70576576986022%","1.53853480684156%","1.8825742475174%","","","","","ONS-CIS",""
"North West","22 November 2020","22 November 2020","1.67200342774294%","1.50478737227271%","1.84879570137841%","","","","","ONS-CIS",""
"North West","23 November 2020","23 November 2020","1.63737157883469%","1.46833540983625%","1.81318035842379%","","","","","ONS-CIS",""
"North West","24 November 2020","24 November 2020","1.60177460778963%","1.43469715021193%","1.77816625278533%","","","","","ONS-CIS",""
"North West","25 November 2020","25 November 2020","1.56540170976093%","1.40100893316911%","1.73641922640271%","","","","","ONS-CIS",""
"North West","26 November 2020","26 November 2020","1.52866886074358%","1.36766047267894%","1.69569117977139%","","","","","ONS-CIS",""
"North West","27 November 2020","27 November 2020","1.49211553256895%","1.33270253262003%","1.65845949390958%","","","","","ONS-CIS",""
"North West","28 November 2020","28 November 2020","1.45628499268667%","1.30053214606393%","1.61958106307719%","","","","","ONS-CIS",""
"North West","29 November 2020","29 November 2020","1.42161958800628%","1.26686209218858%","1.5845984125225%","","","","","ONS-CIS",""
"North West","30 November 2020","30 November 2020","1.38839588957294%","1.23361444565369%","1.55217766158792%","","","","","ONS-CIS",""
"North West","01 December 2020","01 December 2020","1.35671172044447%","1.20013807257017%","1.52222304703972%","","","","","ONS-CIS",""
"North West","02 December 2020","02 December 2020","1.32652209865648%","1.17146892362859%","1.49091660666045%","","","","","ONS-CIS",""
"North West","03 December 2020","03 December 2020","1.29770811730013%","1.14453653495215%","1.46438990873288%","","","","","ONS-CIS",""
"North West","04 December 2020","04 December 2020","1.27015495102484%","1.1187826107925%","1.43025517401734%","","","","","ONS-CIS",""
"North West","05 December 2020","05 December 2020","1.24381440765351%","1.09263192439983%","1.3998924989244%","","","","","ONS-CIS",""
"North West","06 December 2020","06 December 2020","1.21873389769678%","1.06766327865264%","1.373712960896%","","","","","ONS-CIS",""
"North West","07 December 2020","07 December 2020","1.19504545393198%","1.04162651513439%","1.35085522895257%","","","","","ONS-CIS",""
"North West","08 December 2020","08 December 2020","1.17292177514804%","1.00867817477124%","1.34230961816565%","","","","","ONS-CIS",""
"North West","09 December 2020","09 December 2020","1.15251691399275%","0.972930197012965%","1.33994086808147%","","","","","ONS-CIS",""
"North West","10 December 2020","10 December 2020","1.13391403946306%","0.9372019805938%","1.35019604573173%","","","","","ONS-CIS",""
"North West","11 December 2020","11 December 2020","1.11710080659475%","0.89951739782825%","1.35842835270092%","","","","","ONS-CIS",""
"North West","12 December 2020","12 December 2020","1.10198566618778%","0.858573790624945%","1.37608901887932%","","","","","ONS-CIS",""
"Midlands","15 June 2020","15 June 2020","0.0578530571250723%","0.0169299331201727%","0.146676450771363%","","","","","ONS-CIS",""
"Midlands","16 June 2020","16 June 2020","0.0564112198185205%","0.0173575043440652%","0.13696661992213%","","","","","ONS-CIS",""
"Midlands","17 June 2020","17 June 2020","0.0551222449879033%","0.017708013985554%","0.127815861715697%","","","","","ONS-CIS",""
"Midlands","18 June 2020","18 June 2020","0.0539690913994255%","0.0179894335722132%","0.120411238656579%","","","","","ONS-CIS",""
"Midlands","19 June 2020","19 June 2020","0.0529360261576892%","0.0182692523872808%","0.11439977673216%","","","","","ONS-CIS",""
"Midlands","20 June 2020","20 June 2020","0.0520083191168396%","0.0184273605507751%","0.109575765144584%","","","","","ONS-CIS",""
"Midlands","21 June 2020","21 June 2020","0.0511725629278639%","0.0186056368861302%","0.105282735011839%","","","","","ONS-CIS",""
"Midlands","22 June 2020","22 June 2020","0.0380113252761276%","0.00778022769193678%","0.0867401048621139%","","","","","ONS-CIS",""
"Midlands","23 June 2020","23 June 2020","0.0379498097381283%","0.00852764798985507%","0.0835816655508451%","","","","","ONS-CIS",""
"Midlands","24 June 2020","24 June 2020","0.0379340584097871%","0.00912105979561708%","0.0811858843260445%","","","","","ONS-CIS",""
"Midlands","25 June 2020","25 June 2020","0.0379640540087941%","0.00976510827740896%","0.0793537292315607%","","","","","ONS-CIS",""
"Midlands","26 June 2020","26 June 2020","0.0380388406215987%","0.0104070884507211%","0.0779873709890166%","","","","","ONS-CIS",""
"Midlands","27 June 2020","27 June 2020","0.0381562504109331%","0.0112801502974202%","0.076396246962186%","","","","","ONS-CIS",""
"Midlands","28 June 2020","28 June 2020","0.0383129746759995%","0.0119610606828604%","0.0758056984844384%","","","","","ONS-CIS",""
"Midlands","29 June 2020","29 June 2020","0.0438293126510153%","0.0124130900930615%","0.0945935499082382%","","","","","ONS-CIS",""
"Midlands","30 June 2020","30 June 2020","0.0437302790208297%","0.0133206211006482%","0.0921925491891006%","","","","","ONS-CIS",""
"Midlands","01 July 2020","01 July 2020","0.0436894777897017%","0.0142187511054314%","0.089931033754788%","","","","","ONS-CIS",""
"Midlands","02 July 2020","02 July 2020","0.0437055388138485%","0.0152197344676196%","0.0873479428142986%","","","","","ONS-CIS",""
"Midlands","03 July 2020","03 July 2020","0.0453783232078019%","0.0136840175501071%","0.101463399261866%","","","","","ONS-CIS",""
"Midlands","04 July 2020","04 July 2020","0.0453538713588947%","0.0147458663887789%","0.0987154175525987%","","","","","ONS-CIS",""
"Midlands","05 July 2020","05 July 2020","0.0453856746702546%","0.0156770332141305%","0.0963050985949017%","","","","","ONS-CIS",""
"Midlands","06 July 2020","06 July 2020","0.0454682837557643%","0.0167318426314852%","0.0941546764521289%","","","","","ONS-CIS",""
"Midlands","07 July 2020","07 July 2020","0.0455928055431263%","0.0175951987234822%","0.092594964746357%","","","","","ONS-CIS",""
"Midlands","08 July 2020","08 July 2020","0.0457471360979339%","0.0186361500816041%","0.0908147289551315%","","","","","ONS-CIS",""
"Midlands","09 July 2020","09 July 2020","0.0459166926274653%","0.0195516283449983%","0.0896640192332687%","","","","","ONS-CIS",""
"Midlands","10 July 2020","10 July 2020","0.0629636805612708%","0.0193754943771065%","0.161072614972681%","","","","","ONS-CIS",""
"Midlands","11 July 2020","11 July 2020","0.0617225623198369%","0.0198971031783887%","0.151436553371684%","","","","","ONS-CIS",""
"Midlands","12 July 2020","12 July 2020","0.060616046879844%","0.0204041860944502%","0.141357162880439%","","","","","ONS-CIS",""
"Midlands","13 July 2020","13 July 2020","0.0596271847487412%","0.0208935964763405%","0.133036519380469%","","","","","ONS-CIS",""
"Midlands","14 July 2020","14 July 2020","0.0587378492760366%","0.0211863098314548%","0.127790307904733%","","","","","ONS-CIS",""
"Midlands","15 July 2020","15 July 2020","0.054602931605859%","0.0168631496230449%","0.136999301548962%","","","","","ONS-CIS",""
"Midlands","16 July 2020","16 July 2020","0.0539113384420835%","0.017536852449772%","0.130322382557787%","","","","","ONS-CIS",""
"Midlands","17 July 2020","17 July 2020","0.0533009066361379%","0.0181880274823054%","0.12456169333426%","","","","","ONS-CIS",""
"Midlands","18 July 2020","18 July 2020","0.0527633974429599%","0.018705178836136%","0.119548661501054%","","","","","ONS-CIS",""
"Midlands","19 July 2020","19 July 2020","0.0522881785219929%","0.0192727022574696%","0.114426176582947%","","","","","ONS-CIS",""
"Midlands","20 July 2020","20 July 2020","0.0518623832095897%","0.0196338009009447%","0.110890727012704%","","","","","ONS-CIS",""
"Midlands","21 July 2020","21 July 2020","0.0514715834411709%","0.0199267278370066%","0.1077296803325%","","","","","ONS-CIS",""
"Midlands","22 July 2020","22 July 2020","0.0511008130769009%","0.0201702387297331%","0.105138945380461%","","","","","ONS-CIS",""
"Midlands","23 July 2020","23 July 2020","0.050735741665622%","0.020316327146019%","0.103436811063572%","","","","","ONS-CIS",""
"Midlands","24 July 2020","24 July 2020","0.0503637767947262%","0.0203832954712296%","0.100366564943448%","","","","","ONS-CIS",""
"Midlands","25 July 2020","25 July 2020","0.0499748868965432%","0.0205611293341618%","0.0988013199467628%","","","","","ONS-CIS",""
"Midlands","26 July 2020","26 July 2020","0.0453022912793946%","0.0122148305951365%","0.118382180665058%","","","","","ONS-CIS",""
"Midlands","27 July 2020","27 July 2020","0.0448215403932264%","0.0127879052727841%","0.113483838836056%","","","","","ONS-CIS",""
"Midlands","28 July 2020","28 July 2020","0.0444079471446068%","0.0132747903988748%","0.107929237556301%","","","","","ONS-CIS",""
"Midlands","29 July 2020","29 July 2020","0.044052491672013%","0.0136039737992482%","0.104676250643441%","","","","","ONS-CIS",""
"Midlands","30 July 2020","30 July 2020","0.0437428533118967%","0.0139532084965905%","0.102098839924717%","","","","","ONS-CIS",""
"Midlands","31 July 2020","31 July 2020","0.0606855311395079%","0.0171042993889184%","0.163781085100198%","","","","","ONS-CIS",""
"Midlands","01 August 2020","01 August 2020","0.0586571414943986%","0.0173968699639329%","0.150141228888968%","","","","","ONS-CIS",""
"Midlands","02 August 2020","02 August 2020","0.0568348178254145%","0.0176598895746792%","0.140278251158917%","","","","","ONS-CIS",""
"Midlands","03 August 2020","03 August 2020","0.0551946043491599%","0.0177504811453953%","0.13018527622627%","","","","","ONS-CIS",""
"Midlands","04 August 2020","04 August 2020","0.0537131777977532%","0.0179318754775436%","0.122549032426271%","","","","","ONS-CIS",""
"Midlands","05 August 2020","05 August 2020","0.0523678780241322%","0.0180078357015606%","0.115586985432905%","","","","","ONS-CIS",""
"Midlands","06 August 2020","06 August 2020","0.051137511382604%","0.0179226723582428%","0.110581847090326%","","","","","ONS-CIS",""
"Midlands","07 August 2020","07 August 2020","0.0500034198079977%","0.0179608236092865%","0.105401736156529%","","","","","ONS-CIS",""
"Midlands","08 August 2020","08 August 2020","0.0489504262993764%","0.0177432008535126%","0.101100361438159%","","","","","ONS-CIS",""
"Midlands","09 August 2020","09 August 2020","0.0486743256124867%","0.00944088910685153%","0.122932649695187%","","","","","ONS-CIS",""
"Midlands","10 August 2020","10 August 2020","0.0475951420955297%","0.00989882600237094%","0.114094338571663%","","","","","ONS-CIS",""
"Midlands","11 August 2020","11 August 2020","0.0466660129397003%","0.0103135767330311%","0.107620733904092%","","","","","ONS-CIS",""
"Midlands","12 August 2020","12 August 2020","0.0458780760673246%","0.0105959603371098%","0.103322718371783%","","","","","ONS-CIS",""
"Midlands","13 August 2020","13 August 2020","0.0452239980848165%","0.0109033466251581%","0.0985865263352372%","","","","","ONS-CIS",""
"Midlands","14 August 2020","14 August 2020","0.0385042553268865%","0.00906452322262854%","0.0856947849143982%","","","","","ONS-CIS",""
"Midlands","15 August 2020","15 August 2020","0.0383418630459133%","0.00942131325346673%","0.0840477202620509%","","","","","ONS-CIS",""
"Midlands","16 August 2020","16 August 2020","0.0382853668431126%","0.00958240740863959%","0.0832566595506453%","","","","","ONS-CIS",""
"Midlands","17 August 2020","17 August 2020","0.0383364151488712%","0.00984641296386874%","0.0827449847203612%","","","","","ONS-CIS",""
"Midlands","18 August 2020","18 August 2020","0.0384980183241783%","0.0101703937200484%","0.0821500476237237%","","","","","ONS-CIS",""
"Midlands","19 August 2020","19 August 2020","0.0387745418167463%","0.0105971358225699%","0.0819628020084385%","","","","","ONS-CIS",""
"Midlands","20 August 2020","20 August 2020","0.0391715886095755%","0.0111372343956513%","0.0822142550320545%","","","","","ONS-CIS",""
"Midlands","21 August 2020","21 August 2020","0.0454975173489623%","0.0130958008447089%","0.10015638192823%","","","","","ONS-CIS",""
"Midlands","22 August 2020","22 August 2020","0.0445479065465792%","0.0134279540010091%","0.0961238719431796%","","","","","ONS-CIS",""
"Midlands","23 August 2020","23 August 2020","0.0438821017987887%","0.0137327797092365%","0.0928821053019634%","","","","","ONS-CIS",""
"Midlands","24 August 2020","24 August 2020","0.0434960240941806%","0.0139583232145254%","0.0906913303477434%","","","","","ONS-CIS",""
"Midlands","25 August 2020","25 August 2020","0.0433879213040712%","0.0145279529354313%","0.0891568245782184%","","","","","ONS-CIS",""
"Midlands","26 August 2020","26 August 2020","0.0435585881636408%","0.01498783559719%","0.0882367320182373%","","","","","ONS-CIS",""
"Midlands","27 August 2020","27 August 2020","0.044011385603899%","0.0156360713554698%","0.0876423671207922%","","","","","ONS-CIS",""
"Midlands","28 August 2020","28 August 2020","0.0328675698301039%","0.00751474470729866%","0.0796662723986355%","","","","","ONS-CIS",""
"Midlands","29 August 2020","29 August 2020","0.0336022427440495%","0.00834140444148344%","0.0786973342188007%","","","","","ONS-CIS",""
"Midlands","30 August 2020","30 August 2020","0.0348231110005039%","0.00938592923955915%","0.078795223867792%","","","","","ONS-CIS",""
"Midlands","31 August 2020","31 August 2020","0.0365638971315349%","0.0106613033254205%","0.0804205070139667%","","","","","ONS-CIS",""
"Midlands","01 September 2020","01 September 2020","0.0388586474765013%","0.0122416745907852%","0.0833658075511974%","","","","","ONS-CIS",""
"Midlands","02 September 2020","02 September 2020","0.0417344317880886%","0.0140707603392444%","0.0866855512633553%","","","","","ONS-CIS",""
"Midlands","03 September 2020","03 September 2020","0.0452012902833052%","0.0162188140307273%","0.0905553724476625%","","","","","ONS-CIS",""
"Midlands","04 September 2020","04 September 2020","0.0492408949421954%","0.0183940234563561%","0.0970900386460813%","","","","","ONS-CIS",""
"Midlands","05 September 2020","05 September 2020","0.0523001601232688%","0.0185738291192905%","0.106149444842003%","","","","","ONS-CIS",""
"Midlands","06 September 2020","06 September 2020","0.0552719558484938%","0.0208665980941873%","0.108956847489839%","","","","","ONS-CIS",""
"Midlands","07 September 2020","07 September 2020","0.0585699587162588%","0.0235098235449635%","0.11243366084507%","","","","","ONS-CIS",""
"Midlands","08 September 2020","08 September 2020","0.0622101427480918%","0.0263526451487962%","0.116409180595714%","","","","","ONS-CIS",""
"Midlands","09 September 2020","09 September 2020","0.0662124106576474%","0.0296619396614421%","0.12129460746087%","","","","","ONS-CIS",""
"Midlands","10 September 2020","10 September 2020","0.0706004096683574%","0.0330176255690204%","0.125843876691782%","","","","","ONS-CIS",""
"Midlands","11 September 2020","11 September 2020","0.0754000803610674%","0.0367868299497499%","0.131730958834918%","","","","","ONS-CIS",""
"Midlands","12 September 2020","12 September 2020","0.0968484886212403%","0.0483207834068278%","0.1649999122458%","","","","","ONS-CIS",""
"Midlands","13 September 2020","13 September 2020","0.0987166814280531%","0.0509848585395328%","0.164484251482337%","","","","","ONS-CIS",""
"Midlands","14 September 2020","14 September 2020","0.101338967577843%","0.0539573696284742%","0.165665465542318%","","","","","ONS-CIS",""
"Midlands","15 September 2020","15 September 2020","0.104817755356972%","0.0575109708610899%","0.16755046264419%","","","","","ONS-CIS",""
"Midlands","16 September 2020","16 September 2020","0.109266457199775%","0.0619506088616681%","0.170799643304433%","","","","","ONS-CIS",""
"Midlands","17 September 2020","17 September 2020","0.114804410528321%","0.0671306417157575%","0.176482649145702%","","","","","ONS-CIS",""
"Midlands","18 September 2020","18 September 2020","0.121550844045695%","0.0728032271684196%","0.183574317475314%","","","","","ONS-CIS",""
"Midlands","19 September 2020","19 September 2020","0.129618907825482%","0.079664776782741%","0.192411080354771%","","","","","ONS-CIS",""
"Midlands","20 September 2020","20 September 2020","0.145580982782974%","0.0869613551843696%","0.218553082494621%","","","","","ONS-CIS",""
"Midlands","21 September 2020","21 September 2020","0.153005854936486%","0.0942093514257927%","0.225095443981676%","","","","","ONS-CIS",""
"Midlands","22 September 2020","22 September 2020","0.162238910866677%","0.102678036461545%","0.233692938392533%","","","","","ONS-CIS",""
"Midlands","23 September 2020","23 September 2020","0.173518443194324%","0.112895590218892%","0.246122426512502%","","","","","ONS-CIS",""
"Midlands","24 September 2020","24 September 2020","0.187090992948429%","0.125344228717369%","0.260973018490259%","","","","","ONS-CIS",""
"Midlands","25 September 2020","25 September 2020","0.203199461290314%","0.139627208769897%","0.278909632747606%","","","","","ONS-CIS",""
"Midlands","26 September 2020","26 September 2020","0.217364698166293%","0.149707522303597%","0.299940349530563%","","","","","ONS-CIS",""
"Midlands","27 September 2020","27 September 2020","0.238121375291855%","0.167370016049596%","0.323805423184682%","","","","","ONS-CIS",""
"Midlands","28 September 2020","28 September 2020","0.261381030888897%","0.187747691772475%","0.349776023331744%","","","","","ONS-CIS",""
"Midlands","29 September 2020","29 September 2020","0.28729220047752%","0.211020564155885%","0.379036834489956%","","","","","ONS-CIS",""
"Midlands","30 September 2020","30 September 2020","0.315938168936381%","0.235556172773892%","0.411059190415246%","","","","","ONS-CIS",""
"Midlands","01 October 2020","01 October 2020","0.347307453673323%","0.263341117993555%","0.445523514215794%","","","","","ONS-CIS",""
"Midlands","02 October 2020","02 October 2020","0.381261165155892%","0.293480948922297%","0.48244307564128%","","","","","ONS-CIS",""
"Midlands","03 October 2020","03 October 2020","0.41750440299302%","0.326244570578897%","0.522182673769642%","","","","","ONS-CIS",""
"Midlands","04 October 2020","04 October 2020","0.468587443178413%","0.368937250357335%","0.579010814158297%","","","","","ONS-CIS",""
"Midlands","05 October 2020","05 October 2020","0.495256321986894%","0.392847805654138%","0.609767932026334%","","","","","ONS-CIS",""
"Midlands","06 October 2020","06 October 2020","0.523647690743404%","0.417558470752332%","0.641030949720559%","","","","","ONS-CIS",""
"Midlands","07 October 2020","07 October 2020","0.553711985958786%","0.444741726033625%","0.675347947190864%","","","","","ONS-CIS",""
"Midlands","08 October 2020","08 October 2020","0.585379163028458%","0.473933619127345%","0.709136363961179%","","","","","ONS-CIS",""
"Midlands","09 October 2020","09 October 2020","0.618547040655569%","0.50497431939349%","0.743972248919466%","","","","","ONS-CIS",""
"Midlands","10 October 2020","10 October 2020","0.653062058663849%","0.53823887278573%","0.780999154722954%","","","","","ONS-CIS",""
"Midlands","11 October 2020","11 October 2020","0.677719789147569%","0.561253743888875%","0.80770517669492%","","","","","ONS-CIS",""
"Midlands","12 October 2020","12 October 2020","0.711411617517355%","0.590771031480062%","0.846631697372485%","","","","","ONS-CIS",""
"Midlands","13 October 2020","13 October 2020","0.746719856247103%","0.620954449485804%","0.886274462498389%","","","","","ONS-CIS",""
"Midlands","14 October 2020","14 October 2020","0.783355614123682%","0.654420271702634%","0.926321856457546%","","","","","ONS-CIS",""
"Midlands","15 October 2020","15 October 2020","0.82094642869461%","0.690391136089275%","0.966264007326475%","","","","","ONS-CIS",""
"Midlands","16 October 2020","16 October 2020","0.859036300843167%","0.725701342284715%","1.00602000973775%","","","","","ONS-CIS",""
"Midlands","17 October 2020","17 October 2020","0.897094368242278%","0.761035460331679%","1.04317949811512%","","","","","ONS-CIS",""
"Midlands","18 October 2020","18 October 2020","0.911629304390607%","0.770820731169287%","1.06821441220563%","","","","","ONS-CIS",""
"Midlands","19 October 2020","19 October 2020","0.952031678600667%","0.804539006145746%","1.11601809163308%","","","","","ONS-CIS",""
"Midlands","20 October 2020","20 October 2020","0.991494268202095%","0.836159986167619%","1.16117759902829%","","","","","ONS-CIS",""
"Midlands","21 October 2020","21 October 2020","1.02942414499558%","0.867650933257424%","1.20366637109871%","","","","","ONS-CIS",""
"Midlands","22 October 2020","22 October 2020","1.06535868679701%","0.902638452627542%","1.24170557641424%","","","","","ONS-CIS",""
"Midlands","23 October 2020","23 October 2020","1.09896717106072%","0.934592975566496%","1.27486203968496%","","","","","ONS-CIS",""
"Midlands","24 October 2020","24 October 2020","1.1300253826376%","0.966086560792242%","1.3055874415311%","","","","","ONS-CIS",""
"Midlands","25 October 2020","25 October 2020","1.14706624289246%","0.976556291735466%","1.33516384460911%","","","","","ONS-CIS",""
"Midlands","26 October 2020","26 October 2020","1.15156038531533%","0.975025247554592%","1.34272145119847%","","","","","ONS-CIS",""
"Midlands","27 October 2020","27 October 2020","1.15827211066342%","0.979636141230751%","1.35124211037536%","","","","","ONS-CIS",""
"Midlands","28 October 2020","28 October 2020","1.16736441701919%","0.987738765069238%","1.36022984522907%","","","","","ONS-CIS",""
"Midlands","29 October 2020","29 October 2020","1.17902538963429%","1.00105659766497%","1.36978841510088%","","","","","ONS-CIS",""
"Midlands","30 October 2020","30 October 2020","1.19344251832405%","1.01671541146078%","1.37950353273188%","","","","","ONS-CIS",""
"Midlands","31 October 2020","31 October 2020","1.2107649604467%","1.03714890135477%","1.39575255040789%","","","","","ONS-CIS",""
"Midlands","01 November 2020","01 November 2020","1.26630036532076%","1.08323363193338%","1.46348326781095%","","","","","ONS-CIS",""
"Midlands","02 November 2020","02 November 2020","1.275904764868%","1.08838565768537%","1.47769072763378%","","","","","ONS-CIS",""
"Midlands","03 November 2020","03 November 2020","1.28955666371006%","1.09709537555607%","1.49278578070336%","","","","","ONS-CIS",""
"Midlands","04 November 2020","04 November 2020","1.30714844328518%","1.11277301282936%","1.50886464504663%","","","","","ONS-CIS",""
"Midlands","05 November 2020","05 November 2020","1.32840133384238%","1.13763580733047%","1.52821945323839%","","","","","ONS-CIS",""
"Midlands","06 November 2020","06 November 2020","1.35281628684935%","1.16490520452232%","1.5494546342635%","","","","","ONS-CIS",""
"Midlands","07 November 2020","07 November 2020","1.37962337584315%","1.19209270842589%","1.57456471960086%","","","","","ONS-CIS",""
"Midlands","08 November 2020","08 November 2020","1.40774881284829%","1.21937623388728%","1.60458072573041%","","","","","ONS-CIS",""
"Midlands","09 November 2020","09 November 2020","1.43581971190111%","1.24603280056038%","1.63578345716188%","","","","","ONS-CIS",""
"Midlands","10 November 2020","10 November 2020","1.46222207615475%","1.26995223967932%","1.67050588382393%","","","","","ONS-CIS",""
"Midlands","11 November 2020","11 November 2020","1.48521691541609%","1.2857204018197%","1.70141393105701%","","","","","ONS-CIS",""
"Midlands","12 November 2020","12 November 2020","1.50310450608296%","1.29586322197062%","1.72399571498134%","","","","","ONS-CIS",""
"Midlands","13 November 2020","13 November 2020","1.51441145529904%","1.30433898691708%","1.73718974844345%","","","","","ONS-CIS",""
"Midlands","14 November 2020","14 November 2020","1.51806486380111%","1.30967062658695%","1.74064129510516%","","","","","ONS-CIS",""
"Midlands","15 November 2020","15 November 2020","1.51351732419175%","1.30972266915963%","1.73256994785951%","","","","","ONS-CIS",""
"Midlands","16 November 2020","16 November 2020","1.5007972549864%","1.3000739633781%","1.71306416756619%","","","","","ONS-CIS",""
"Midlands","17 November 2020","17 November 2020","1.48047792312617%","1.28664786081804%","1.68642152300417%","","","","","ONS-CIS",""
"Midlands","18 November 2020","18 November 2020","1.45357860530286%","1.26458966282156%","1.65466043146023%","","","","","ONS-CIS",""
"Midlands","19 November 2020","19 November 2020","1.42142548608696%","1.23160792866147%","1.62146697266949%","","","","","ONS-CIS",""
"Midlands","20 November 2020","20 November 2020","1.38550393822362%","1.19655662022404%","1.58730844628801%","","","","","ONS-CIS",""
"Midlands","21 November 2020","21 November 2020","1.34732818287025%","1.1549280617702%","1.55026825947197%","","","","","ONS-CIS",""
"Midlands","22 November 2020","22 November 2020","1.30834297533699%","1.11645446432651%","1.50986697512315%","","","","","ONS-CIS",""
"Midlands","23 November 2020","23 November 2020","1.26986003788467%","1.0820276365124%","1.47290116787873%","","","","","ONS-CIS",""
"Midlands","24 November 2020","24 November 2020","1.23302341529233%","1.05073704754407%","1.43422471813038%","","","","","ONS-CIS",""
"Midlands","25 November 2020","25 November 2020","1.19879436669228%","1.02198965544085%","1.3940416474615%","","","","","ONS-CIS",""
"Midlands","26 November 2020","26 November 2020","1.1679472154248%","0.996647569028329%","1.35637106292411%","","","","","ONS-CIS",""
"Midlands","27 November 2020","27 November 2020","1.14107085094904%","0.971594739405807%","1.3240331772327%","","","","","ONS-CIS",""
"Midlands","28 November 2020","28 November 2020","1.11857421195454%","0.950747207780007%","1.30067007323459%","","","","","ONS-CIS",""
"Midlands","29 November 2020","29 November 2020","1.10069658250804%","0.932713560483755%","1.28470269327933%","","","","","ONS-CIS",""
"Midlands","30 November 2020","30 November 2020","1.08752430982614%","0.918430902781536%","1.27468668490425%","","","","","ONS-CIS",""
"Midlands","01 December 2020","01 December 2020","1.07901476444232%","0.906286762534096%","1.27010125730468%","","","","","ONS-CIS",""
"Midlands","02 December 2020","02 December 2020","1.0750265818895%","0.899704214867016%","1.26956034108164%","","","","","ONS-CIS",""
"Midlands","03 December 2020","03 December 2020","1.07535313987511%","0.899914708839225%","1.27410572885861%","","","","","ONS-CIS",""
"Midlands","04 December 2020","04 December 2020","1.07975451832851%","0.904046696299896%","1.2786892816732%","","","","","ONS-CIS",""
"Midlands","05 December 2020","05 December 2020","1.08798249921431%","0.913811974370841%","1.28373718803347%","","","","","ONS-CIS",""
"Midlands","06 December 2020","06 December 2020","1.09979400397383%","0.925309379965502%","1.29392311624024%","","","","","ONS-CIS",""
"Midlands","07 December 2020","07 December 2020","1.11495096370049%","0.934067307797195%","1.31562799104339%","","","","","ONS-CIS",""
"Midlands","08 December 2020","08 December 2020","1.13320872985208%","0.937100074627332%","1.34933853609985%","","","","","ONS-CIS",""
"Midlands","09 December 2020","09 December 2020","1.15430000593688%","0.933717767505709%","1.39695626812237%","","","","","ONS-CIS",""
"Midlands","10 December 2020","10 December 2020","1.17792578072828%","0.923813606732371%","1.46434017903639%","","","","","ONS-CIS",""
"Midlands","11 December 2020","11 December 2020","1.20376764901692%","0.906317358092042%","1.54618873896485%","","","","","ONS-CIS",""
"Midlands","12 December 2020","12 December 2020","1.2315363016874%","0.886347150277038%","1.63964886880343%","","","","","ONS-CIS",""
"East of England","15 June 2020","15 June 2020","0.0663381785837049%","0.0222985215304892%","0.176499539980782%","","","","","ONS-CIS",""
"East of England","16 June 2020","16 June 2020","0.063575798388893%","0.0223988484702435%","0.158632730389938%","","","","","ONS-CIS",""
"East of England","17 June 2020","17 June 2020","0.0611651342365527%","0.0225338090415337%","0.143047189453238%","","","","","ONS-CIS",""
"East of England","18 June 2020","18 June 2020","0.0590568860792107%","0.022829708936216%","0.130355511525033%","","","","","ONS-CIS",""
"East of England","19 June 2020","19 June 2020","0.057209125565932%","0.023115865055682%","0.119896783046463%","","","","","ONS-CIS",""
"East of England","20 June 2020","20 June 2020","0.055585571718922%","0.0231574705392298%","0.111312862269442%","","","","","ONS-CIS",""
"East of England","21 June 2020","21 June 2020","0.0541551418892558%","0.0230936618508188%","0.104999911044451%","","","","","ONS-CIS",""
