sample_date,nhs,all,var2,nhs_name
2020-04-07,N99999999,5,0,Northern Ireland
2020-04-07,S99999999,124,0,Scotland
2020-04-07,W99999999,192,0,Wales
2020-04-08,E40000003,58,0,London
2020-04-08,E40000005,41,0,South East
2020-04-08,E40000006,78,0,South West
2020-04-08,E40000007,170,0,East of England
2020-04-08,E40000008,26,0,Midlands
2020-04-08,E40000009,28,0,North East and Yorkshire
2020-04-08,E40000010,37,0,North West
2020-04-08,N99999999,16,0,Northern Ireland
2020-04-08,S99999999,126,0,Scotland
2020-04-08,W99999999,130,0,Wales
2020-04-09,E40000003,32,0,London
2020-04-09,E40000005,36,0,South East
2020-04-09,E40000006,84,0,South West
2020-04-09,E40000007,110,0,East of England
2020-04-09,E40000008,19,0,Midlands
2020-04-09,E40000009,39,0,North East and Yorkshire
2020-04-09,E40000010,34,0,North West
2020-04-09,N99999999,1,0,Northern Ireland
2020-04-09,S99999999,94,0,Scotland
2020-04-09,W99999999,92,0,Wales
2020-04-10,E40000003,41,0,London
2020-04-10,E40000005,32,0,South East
2020-04-10,E40000006,103,0,South West
2020-04-10,E40000007,88,0,East of England
2020-04-10,E40000008,17,0,Midlands
2020-04-10,E40000009,44,0,North East and Yorkshire
2020-04-10,E40000010,24,0,North West
2020-04-10,N99999999,22,0,Northern Ireland
2020-04-10,S99999999,112,0,Scotland
2020-04-10,W99999999,128,0,Wales
2020-04-11,E40000003,31,0,London
2020-04-11,E40000005,16,0,South East
2020-04-11,E40000006,86,0,South West
2020-04-11,E40000007,104,0,East of England
2020-04-11,E40000008,24,0,Midlands
2020-04-11,E40000009,49,0,North East and Yorkshire
2020-04-11,E40000010,16,0,North West
2020-04-11,N99999999,14,0,Northern Ireland
2020-04-11,S99999999,79,0,Scotland
2020-04-11,W99999999,79,0,Wales
2020-04-12,E40000003,17,0,London
2020-04-12,E40000005,17,0,South East
2020-04-12,E40000006,56,0,South West
2020-04-12,E40000007,101,0,East of England
2020-04-12,E40000008,15,0,Midlands
2020-04-12,E40000009,36,0,North East and Yorkshire
2020-04-12,E40000010,20,0,North West
2020-04-12,N99999999,26,0,Northern Ireland
2020-04-12,S99999999,97,0,Scotland
2020-04-12,W99999999,92,0,Wales
2020-04-13,E40000003,58,0,London
2020-04-13,E40000005,33,0,South East
2020-04-13,E40000006,54,0,South West
2020-04-13,E40000007,79,0,East of England
2020-04-13,E40000008,21,0,Midlands
2020-04-13,E40000009,23,0,North East and Yorkshire
2020-04-13,E40000010,18,0,North West
2020-04-13,N99999999,23,0,Northern Ireland
2020-04-13,S99999999,155,0,Scotland
2020-04-13,W99999999,77,0,Wales
2020-04-14,E40000003,69,0,London
2020-04-14,E40000005,43,0,South East
2020-04-14,E40000006,62,0,South West
2020-04-14,E40000007,108,0,East of England
2020-04-14,E40000008,19,0,Midlands
2020-04-14,E40000009,27,0,North East and Yorkshire
2020-04-14,E40000010,17,0,North West
2020-04-14,N99999999,16,0,Northern Ireland
2020-04-14,S99999999,109,0,Scotland
2020-04-14,W99999999,125,0,Wales
2020-04-15,E40000003,70,0,London
