sample_date,nhs_name,all,var2
2020-03-10,Scotland,5,0
2020-03-10,South East,2,0
2020-03-10,South West,8,0
2020-03-11,East of England,10,0
2020-03-11,London,82,0
2020-03-11,Midlands,20,0
2020-03-11,North East and Yorkshire,3,0
2020-03-11,North West,8,0
2020-03-11,Northern Ireland,3,0
2020-03-11,Scotland,11,0
2020-03-11,South East,6,0
2020-03-11,South West,11,0
2020-03-12,East of England,20,0
2020-03-12,London,78,0
2020-03-12,Midlands,24,0
2020-03-12,North East and Yorkshire,16,0
2020-03-12,North West,13,0
2020-03-12,Scotland,31,0
2020-03-12,South East,5,0
2020-03-12,South West,8,0
2020-03-13,East of England,16,0
2020-03-13,London,43,0
2020-03-13,Midlands,6,0
2020-03-13,North East and Yorkshire,9,0
2020-03-13,North West,14,0
2020-03-13,Northern Ireland,1,0
2020-03-13,Scotland,43,0
2020-03-13,South East,2,0
2020-03-13,South West,14,0
2020-03-14,East of England,12,0
2020-03-14,London,46,0
2020-03-14,Midlands,6,0
2020-03-14,North East and Yorkshire,7,0
2020-03-14,North West,10,0
2020-03-14,Northern Ireland,6,0
2020-03-14,Scotland,14,0
2020-03-14,South East,6,0
2020-03-14,South West,10,0
2020-03-15,East of England,9,0
2020-03-15,London,43,0
2020-03-15,Midlands,4,0
2020-03-15,North East and Yorkshire,12,0
2020-03-15,North West,12,0
2020-03-15,Scotland,9,0
2020-03-15,South East,7,0
2020-03-15,South West,7,0
2020-03-16,East of England,20,0
2020-03-16,London,44,0
2020-03-16,Midlands,5,0
2020-03-16,North East and Yorkshire,18,0
2020-03-16,North West,18,0
2020-03-16,Northern Ireland,5,0
2020-03-16,Scotland,16,0
2020-03-16,South East,3,0
2020-03-16,South West,7,0
2020-03-16,Wales,1,0
2020-03-17,East of England,22,0
2020-03-17,London,51,0
2020-03-17,Midlands,8,0
2020-03-17,North East and Yorkshire,20,0
2020-03-17,North West,22,0
2020-03-17,Northern Ireland,7,0
2020-03-17,Scotland,33,0
2020-03-17,South East,10,0
2020-03-17,South West,15,0
2020-03-17,Wales,11,0
2020-03-18,East of England,29,0
2020-03-18,London,62,0
2020-03-18,Midlands,9,0
2020-03-18,North East and Yorkshire,34,0
2020-03-18,North West,22,0
2020-03-18,Northern Ireland,6,0
2020-03-18,Scotland,29,0
2020-03-18,South East,7,0
2020-03-18,South West,28,0
2020-03-18,Wales,10,0
2020-03-19,East of England,25,0
2020-03-19,London,40,0
2020-03-19,Midlands,9,0
2020-03-19,North East and Yorkshire,41,0
2020-03-19,North West,24,0
2020-03-19,Northern Ireland,3,0
2020-03-19,Scotland,33,0
2020-03-19,South East,22,0
2020-03-19,South West,20,0
2020-03-19,Wales,34,0
2020-03-20,East of England,40,0
2020-03-20,London,53,0
2020-03-20,Midlands,12,0
2020-03-20,North East and Yorkshire,44,0
2020-03-20,North West,13,0
2020-03-20,Northern Ireland,6,0
2020-03-20,Scotland,41,0
2020-03-20,South East,22,0
2020-03-20,South West,19,0
2020-03-20,Wales,15,0
2020-03-21,East of England,48,0
2020-03-21,London,38,0
2020-03-21,Midlands,22,0
2020-03-21,North East and Yorkshire,62,0
2020-03-21,North West,30,0
2020-03-21,Northern Ireland,13,0
2020-03-21,Scotland,45,0
2020-03-21,South East,27,0
2020-03-21,South West,20,0
2020-03-21,Wales,3,0
2020-03-22,East of England,56,0
2020-03-22,London,52,0
2020-03-22,Midlands,17,0
2020-03-22,North East and Yorkshire,39,0
2020-03-22,North West,11,0
2020-03-22,Northern Ireland,9,0
2020-03-22,Scotland,51,0
2020-03-22,South East,22,0
2020-03-22,South West,29,0
2020-03-22,Wales,1,0
2020-03-23,East of England,90,0
2020-03-23,London,117,0
2020-03-23,Midlands,21,0
2020-03-23,North East and Yorkshire,71,0
2020-03-23,North West,59,0
2020-03-23,Northern Ireland,29,0
2020-03-23,Scotland,97,0
2020-03-23,South East,25,0
2020-03-23,South West,42,0
2020-03-23,Wales,12,0
2020-03-24,East of England,42,0
2020-03-24,London,93,0
2020-03-24,Midlands,32,0
2020-03-24,North East and Yorkshire,95,0
2020-03-24,North West,69,0
2020-03-24,Northern Ireland,23,0
2020-03-24,Scotland,94,0
2020-03-24,South East,32,0
2020-03-24,South West,27,0
2020-03-24,Wales,68,0
2020-03-25,East of England,9,0
2020-03-25,London,77,0
2020-03-25,Midlands,22,0
2020-03-25,North East and Yorkshire,123,0
2020-03-25,North West,45,0
2020-03-25,Northern Ireland,18,0
2020-03-25,Scotland,87,0
2020-03-25,South East,29,0
2020-03-25,South West,60,0
2020-03-25,Wales,164,0
2020-03-26,East of England,44,0
2020-03-26,London,83,0
2020-03-26,Midlands,4,0
2020-03-26,North East and Yorkshire,110,0
2020-03-26,North West,86,0
2020-03-26,Northern Ireland,29,0
2020-03-26,Scotland,119,0
2020-03-26,South East,25,0
2020-03-26,South West,59,0
2020-03-26,Wales,56,0
2020-03-27,East of England,19,0
2020-03-27,London,105,0
2020-03-27,Midlands,9,0
2020-03-27,North East and Yorkshire,100,0
2020-03-27,North West,33,0
2020-03-27,Northern Ireland,35,0
2020-03-27,Scotland,145,0
2020-03-27,South East,22,0
2020-03-27,South West,74,0
2020-03-27,Wales,106,0
2020-03-28,East of England,69,0
2020-03-28,London,95,0
2020-03-28,Midlands,30,0
2020-03-28,North East and Yorkshire,89,0
2020-03-28,North West,37,0
2020-03-28,Northern Ireland,16,0
2020-03-28,Scotland,97,0
2020-03-28,South East,21,0
2020-03-28,South West,39,0
2020-03-28,Wales,66,0
2020-03-29,East of England,117,0
2020-03-29,London,87,0
2020-03-29,Midlands,25,0
2020-03-29,North East and Yorkshire,86,0
2020-03-29,North West,36,0
2020-03-29,Northern Ireland,17,0
2020-03-29,Scotland,77,0
2020-03-29,South East,16,0
2020-03-29,South West,47,0
2020-03-29,Wales,66,0
2020-03-30,East of England,135,0
2020-03-30,London,113,0
2020-03-30,Midlands,34,0
2020-03-30,North East and Yorkshire,97,0
2020-03-30,North West,22,0
2020-03-30,Northern Ireland,41,0
2020-03-30,Scotland,136,0
2020-03-30,South East,32,0
2020-03-30,South West,83,0
2020-03-30,Wales,132,0
2020-03-31,East of England,165,0
2020-03-31,London,113,0
2020-03-31,Midlands,11,0
2020-03-31,North East and Yorkshire,93,0
2020-03-31,North West,25,0
2020-03-31,Northern Ireland,38,0
2020-03-31,Scotland,103,0
2020-03-31,South East,40,0
2020-03-31,South West,68,0
2020-03-31,Wales,168,0
2020-04-01,East of England,161,0
2020-04-01,London,70,0
2020-04-01,Midlands,21,0
2020-04-01,North East and Yorkshire,84,0
2020-04-01,North West,26,0
2020-04-01,Northern Ireland,11,0
2020-04-01,Scotland,105,0
2020-04-01,South East,29,0
2020-04-01,South West,65,0
2020-04-01,Wales,164,0
2020-04-02,East of England,166,0
2020-04-02,London,81,0
2020-04-02,Midlands,26,0
2020-04-02,North East and Yorkshire,101,0
2020-04-02,North West,21,0
2020-04-02,Northern Ireland,2,0
2020-04-02,Scotland,71,0
2020-04-02,South East,27,0
2020-04-02,South West,65,0
2020-04-02,Wales,109,0
2020-04-03,East of England,170,0
2020-04-03,London,66,0
2020-04-03,Midlands,34,0
2020-04-03,North East and Yorkshire,89,0
2020-04-03,North West,37,0
2020-04-03,Scotland,97,0
2020-04-03,South East,29,0
2020-04-03,South West,86,0
2020-04-03,Wales,115,0
2020-04-04,East of England,99,0
2020-04-04,London,55,0
2020-04-04,Midlands,18,0
2020-04-04,North East and Yorkshire,64,0
2020-04-04,North West,24,0
2020-04-04,Northern Ireland,1,0
2020-04-04,Scotland,80,0
2020-04-04,South East,23,0
2020-04-04,South West,67,0
2020-04-04,Wales,140,0
2020-04-05,East of England,136,0
2020-04-05,London,37,0
2020-04-05,Midlands,21,0
2020-04-05,North East and Yorkshire,23,0
2020-04-05,North West,24,0
2020-04-05,Scotland,67,0
2020-04-05,South East,34,0
2020-04-05,South West,67,0
2020-04-05,Wales,78,0
2020-04-06,East of England,210,0
2020-04-06,London,89,0
2020-04-06,Midlands,10,0
2020-04-06,North East and Yorkshire,35,0
2020-04-06,North West,10,0
2020-04-06,Northern Ireland,22,0
2020-04-06,Scotland,137,0
2020-04-06,South East,46,0
2020-04-06,South West,61,0
2020-04-06,Wales,175,0
2020-04-07,East of England,157,0
2020-04-07,London,44,0
2020-04-07,Midlands,36,0
2020-04-07,North East and Yorkshire,23,0
2020-04-07,North West,30,0
2020-04-07,Northern Ireland,5,0
2020-04-07,Scotland,124,0
2020-04-07,South East,54,0
2020-04-07,South West,74,0
2020-04-07,Wales,192,0
2020-04-08,East of England,170,0
2020-04-08,London,58,0
2020-04-08,Midlands,26,0
2020-04-08,North East and Yorkshire,28,0
2020-04-08,North West,37,0
2020-04-08,Northern Ireland,16,0
2020-04-08,Scotland,126,0
2020-04-08,South East,41,0
2020-04-08,South West,78,0
2020-04-08,Wales,130,0
2020-04-09,East of England,110,0
2020-04-09,London,32,0
2020-04-09,Midlands,19,0
2020-04-09,North East and Yorkshire,39,0
2020-04-09,North West,34,0
2020-04-09,Northern Ireland,1,0
2020-04-09,Scotland,94,0
2020-04-09,South East,36,0
2020-04-09,South West,84,0
2020-04-09,Wales,92,0
2020-04-10,East of England,88,0
2020-04-10,London,41,0
2020-04-10,Midlands,17,0
2020-04-10,North East and Yorkshire,44,0
2020-04-10,North West,24,0
2020-04-10,Northern Ireland,22,0
2020-04-10,Scotland,112,0
2020-04-10,South East,32,0
2020-04-10,South West,103,0
2020-04-10,Wales,128,0
2020-04-11,East of England,104,0
2020-04-11,London,31,0
2020-04-11,Midlands,24,0
2020-04-11,North East and Yorkshire,49,0
2020-04-11,North West,16,0
2020-04-11,Northern Ireland,14,0
2020-04-11,Scotland,79,0
2020-04-11,South East,16,0
2020-04-11,South West,86,0
2020-04-11,Wales,79,0
2020-04-12,East of England,101,0
2020-04-12,London,17,0
2020-04-12,Midlands,15,0
2020-04-12,North East and Yorkshire,36,0
2020-04-12,North West,20,0
2020-04-12,Northern Ireland,26,0
2020-04-12,Scotland,97,0
2020-04-12,South East,17,0
2020-04-12,South West,56,0
2020-04-12,Wales,92,0
2020-04-13,East of England,79,0
2020-04-13,London,58,0
2020-04-13,Midlands,21,0
2020-04-13,North East and Yorkshire,23,0
2020-04-13,North West,18,0
2020-04-13,Northern Ireland,23,0
2020-04-13,Scotland,155,0
2020-04-13,South East,33,0
2020-04-13,South West,54,0
2020-04-13,Wales,77,0
2020-04-14,East of England,108,0
2020-04-14,London,69,0
2020-04-14,Midlands,19,0
2020-04-14,North East and Yorkshire,27,0
2020-04-14,North West,17,0
2020-04-14,Northern Ireland,16,0
2020-04-14,Scotland,109,0
2020-04-14,South East,43,0
2020-04-14,South West,62,0
2020-04-14,Wales,125,0
2020-04-15,East of England,73,0
2020-04-15,London,70,0
2020-04-15,Midlands,17,0
2020-04-15,North East and Yorkshire,38,0
2020-04-15,North West,16,0
2020-04-15,Northern Ireland,29,0
2020-04-15,Scotland,115,0
2020-04-15,South East,49,0
2020-04-15,South West,62,0
2020-04-15,Wales,83,0
2020-04-16,East of England,94,0
2020-04-16,London,56,0
2020-04-16,Midlands,33,0
2020-04-16,North East and Yorkshire,45,0
2020-04-16,North West,14,0
2020-04-16,Northern Ireland,37,0
2020-04-16,Scotland,123,0
2020-04-16,South East,45,0
2020-04-16,South West,94,0
2020-04-16,Wales,76,0
2020-04-17,East of England,80,0
2020-04-17,London,43,0
2020-04-17,Midlands,24,0
2020-04-17,North East and Yorkshire,46,0
2020-04-17,North West,19,0
2020-04-17,Northern Ireland,30,0
2020-04-17,Scotland,98,0
2020-04-17,South East,30,0
2020-04-17,South West,70,0
2020-04-17,Wales,55,0
2020-04-18,East of England,63,0
2020-04-18,London,25,0
2020-04-18,Midlands,11,0
2020-04-18,North East and Yorkshire,54,0
2020-04-18,North West,9,0
2020-04-18,Northern Ireland,7,0
2020-04-18,Scotland,86,0
2020-04-18,South East,28,0
2020-04-18,South West,53,0
2020-04-18,Wales,65,0
2020-04-19,East of England,64,0
2020-04-19,London,23,0
2020-04-19,Midlands,14,0
2020-04-19,North East and Yorkshire,28,0
2020-04-19,North West,12,0
2020-04-19,Northern Ireland,9,0
2020-04-19,Scotland,34,0
2020-04-19,South East,22,0
2020-04-19,South West,49,0
2020-04-19,Wales,71,0
2020-04-20,East of England,95,0
2020-04-20,London,68,0
2020-04-20,Midlands,18,0
2020-04-20,North East and Yorkshire,34,0
2020-04-20,North West,17,0
2020-04-20,Northern Ireland,27,0
2020-04-20,Scotland,104,0
2020-04-20,South East,45,0
2020-04-20,South West,79,0
2020-04-20,Wales,116,0
2020-04-21,East of England,91,0
2020-04-21,London,44,0
2020-04-21,Midlands,14,0
2020-04-21,North East and Yorkshire,38,0
2020-04-21,North West,11,0
2020-04-21,Northern Ireland,24,0
2020-04-21,Scotland,141,0
2020-04-21,South East,39,0
2020-04-21,South West,54,0
2020-04-21,Wales,47,0
2020-04-22,East of England,113,0
2020-04-22,London,29,0
2020-04-22,Midlands,26,0
2020-04-22,North East and Yorkshire,60,0
2020-04-22,North West,11,0
2020-04-22,Northern Ireland,26,0
2020-04-22,Scotland,128,0
2020-04-22,South East,36,0
2020-04-22,South West,57,0
2020-04-22,Wales,29,0
2020-04-23,East of England,76,0
2020-04-23,London,24,0
2020-04-23,Midlands,37,0
2020-04-23,North East and Yorkshire,46,0
2020-04-23,North West,8,0
2020-04-23,Northern Ireland,12,0
2020-04-23,Scotland,95,0
2020-04-23,South East,31,0
2020-04-23,South West,62,0
2020-04-23,Wales,37,0
2020-04-24,East of England,51,0
2020-04-24,London,14,0
2020-04-24,Midlands,20,0
2020-04-24,North East and Yorkshire,56,0
2020-04-24,North West,7,0
2020-04-24,Northern Ireland,12,0
2020-04-24,Scotland,104,0
2020-04-24,South East,23,0
2020-04-24,South West,48,0
2020-04-24,Wales,77,0
2020-04-25,East of England,43,0
2020-04-25,London,6,0
2020-04-25,Midlands,14,0
2020-04-25,North East and Yorkshire,19,0
2020-04-25,North West,8,0
2020-04-25,Northern Ireland,15,0
2020-04-25,Scotland,60,0
2020-04-25,South East,10,0
2020-04-25,South West,22,0
2020-04-25,Wales,44,0
2020-04-26,East of England,53,0
2020-04-26,London,10,0
2020-04-26,Midlands,18,0
2020-04-26,North East and Yorkshire,24,0
2020-04-26,North West,6,0
2020-04-26,Northern Ireland,4,0
2020-04-26,Scotland,52,0
2020-04-26,South East,11,0
2020-04-26,South West,20,0
2020-04-26,Wales,20,0
2020-04-27,East of England,79,0
2020-04-27,London,12,0
2020-04-27,Midlands,19,0
2020-04-27,North East and Yorkshire,60,0
2020-04-27,North West,7,0
2020-04-27,Northern Ireland,11,0
2020-04-27,Scotland,85,0
2020-04-27,South East,24,0
2020-04-27,South West,51,0
2020-04-27,Wales,80,0
2020-04-28,East of England,56,0
2020-04-28,London,14,0
2020-04-28,Midlands,27,0
2020-04-28,North East and Yorkshire,41,0
2020-04-28,North West,2,0
2020-04-28,Northern Ireland,15,0
2020-04-28,Scotland,50,0
2020-04-28,South East,25,0
2020-04-28,South West,61,0
2020-04-28,Wales,54,0
2020-04-29,East of England,89,0
2020-04-29,London,18,0
2020-04-29,Midlands,48,0
2020-04-29,North East and Yorkshire,52,0
2020-04-29,North West,5,0
2020-04-29,Northern Ireland,16,0
2020-04-29,Scotland,37,0
2020-04-29,South East,11,0
2020-04-29,South West,49,0
2020-04-29,Wales,54,0
2020-04-30,East of England,85,0
2020-04-30,London,36,0
2020-04-30,Midlands,30,0
2020-04-30,North East and Yorkshire,42,0
2020-04-30,North West,1,0
2020-04-30,Northern Ireland,16,0
2020-04-30,Scotland,57,0
2020-04-30,South East,14,0
2020-04-30,South West,32,0
2020-04-30,Wales,58,0
2020-05-01,East of England,90,0
2020-05-01,London,16,0
2020-05-01,Midlands,28,0
2020-05-01,North East and Yorkshire,33,0
2020-05-01,North West,11,0
2020-05-01,Northern Ireland,18,0
2020-05-01,Scotland,66,0
2020-05-01,South East,15,0
2020-05-01,South West,41,0
2020-05-01,Wales,48,0
2020-05-02,East of England,47,0
2020-05-02,London,24,0
2020-05-02,Midlands,22,0
2020-05-02,North East and Yorkshire,29,0
2020-05-02,North West,3,0
2020-05-02,Northern Ireland,21,0
2020-05-02,Scotland,24,0
2020-05-02,South East,9,0
2020-05-02,South West,15,0
2020-05-02,Wales,53,0
2020-05-03,East of England,45,0
2020-05-03,London,2,0
2020-05-03,Midlands,20,0
2020-05-03,North East and Yorkshire,24,0
2020-05-03,North West,12,0
2020-05-03,Northern Ireland,12,0
2020-05-03,Scotland,24,0
2020-05-03,South East,6,0
2020-05-03,South West,20,0
2020-05-03,Wales,21,0
2020-05-04,East of England,87,0
2020-05-04,London,17,0
2020-05-04,Midlands,28,0
2020-05-04,North East and Yorkshire,43,0
2020-05-04,North West,3,0
2020-05-04,Northern Ireland,23,0
2020-05-04,Scotland,32,0
2020-05-04,South East,13,0
2020-05-04,South West,38,0
2020-05-04,Wales,44,0
2020-05-05,East of England,50,0
2020-05-05,London,19,0
2020-05-05,Midlands,44,0
2020-05-05,North East and Yorkshire,72,0
2020-05-05,North West,29,0
2020-05-05,Northern Ireland,9,0
2020-05-05,Scotland,32,0
2020-05-05,South East,14,0
2020-05-05,South West,22,0
2020-05-05,Wales,36,0
2020-05-06,East of England,81,0
2020-05-06,London,6,0
2020-05-06,Midlands,24,0
2020-05-06,North East and Yorkshire,48,0
2020-05-06,North West,4,0
2020-05-06,Northern Ireland,5,0
2020-05-06,Scotland,43,0
2020-05-06,South East,18,0
2020-05-06,South West,43,0
2020-05-06,Wales,57,0
2020-05-07,East of England,66,0
2020-05-07,London,9,0
2020-05-07,Midlands,9,0
2020-05-07,North East and Yorkshire,47,0
2020-05-07,North West,6,0
2020-05-07,Northern Ireland,5,0
2020-05-07,Scotland,50,0
2020-05-07,South East,9,0
2020-05-07,South West,31,0
2020-05-07,Wales,56,0
2020-05-08,East of England,44,0
2020-05-08,London,2,0
2020-05-08,Midlands,21,0
2020-05-08,North East and Yorkshire,41,0
2020-05-08,North West,13,0
2020-05-08,Northern Ireland,8,0
2020-05-08,Scotland,47,0
2020-05-08,South East,7,0
2020-05-08,South West,24,0
2020-05-08,Wales,34,0
2020-05-09,East of England,42,0
2020-05-09,London,5,0
2020-05-09,Midlands,12,0
2020-05-09,North East and Yorkshire,28,0
2020-05-09,North West,11,0
2020-05-09,Northern Ireland,11,0
2020-05-09,Scotland,33,0
2020-05-09,South East,3,0
2020-05-09,South West,16,0
2020-05-09,Wales,42,0
2020-05-10,East of England,32,0
2020-05-10,London,1,0
2020-05-10,Midlands,7,0
2020-05-10,North East and Yorkshire,30,0
2020-05-10,North West,1,0
2020-05-10,Northern Ireland,10,0
2020-05-10,Scotland,27,0
2020-05-10,South East,5,0
2020-05-10,South West,19,0
2020-05-10,Wales,39,0
2020-05-11,East of England,64,0
2020-05-11,London,8,0
2020-05-11,Midlands,16,0
2020-05-11,North East and Yorkshire,60,0
2020-05-11,North West,27,0
2020-05-11,Northern Ireland,4,0
2020-05-11,Scotland,40,0
2020-05-11,South East,1,0
2020-05-11,South West,20,0
2020-05-11,Wales,74,0
2020-05-12,East of England,37,0
2020-05-12,London,7,0
2020-05-12,Midlands,11,0
2020-05-12,North East and Yorkshire,44,0
2020-05-12,North West,43,0
2020-05-12,Northern Ireland,4,0
2020-05-12,Scotland,54,0
2020-05-12,South East,3,0
2020-05-12,South West,10,0
2020-05-12,Wales,47,0
2020-05-13,East of England,39,0
2020-05-13,London,3,0
2020-05-13,Midlands,8,0
2020-05-13,North East and Yorkshire,35,0
2020-05-13,North West,34,0
2020-05-13,Scotland,56,0
2020-05-13,South East,6,0
2020-05-13,South West,18,0
2020-05-13,Wales,56,0
2020-05-14,East of England,15,0
2020-05-14,London,4,0
2020-05-14,Midlands,8,0
2020-05-14,North East and Yorkshire,23,0
2020-05-14,North West,37,0
2020-05-14,Northern Ireland,12,0
2020-05-14,Scotland,59,0
2020-05-14,South East,7,0
2020-05-14,South West,15,0
2020-05-14,Wales,43,0
2020-05-15,East of England,15,0
2020-05-15,London,2,0
2020-05-15,Midlands,13,0
2020-05-15,North East and Yorkshire,32,0
2020-05-15,North West,4,0
2020-05-15,Scotland,31,0
2020-05-15,South East,11,0
2020-05-15,South West,15,0
2020-05-15,Wales,56,0
2020-05-16,East of England,11,0
2020-05-16,London,1,0
2020-05-16,Midlands,13,0
2020-05-16,North East and Yorkshire,39,0
2020-05-16,Northern Ireland,10,0
2020-05-16,Scotland,26,0
2020-05-16,South East,4,0
2020-05-16,South West,13,0
2020-05-16,Wales,19,0
2020-05-17,East of England,10,0
2020-05-17,London,3,0
2020-05-17,Midlands,4,0
2020-05-17,North East and Yorkshire,17,0
2020-05-17,North West,3,0
2020-05-17,Northern Ireland,7,0
2020-05-17,Scotland,18,0
2020-05-17,South East,2,0
2020-05-17,South West,8,0
2020-05-17,Wales,22,0
2020-05-18,East of England,31,0
2020-05-18,London,3,0
2020-05-18,Midlands,20,0
2020-05-18,North East and Yorkshire,47,0
2020-05-18,North West,58,0
2020-05-18,Northern Ireland,14,0
2020-05-18,Scotland,52,0
2020-05-18,South East,2,0
2020-05-18,South West,22,0
2020-05-18,Wales,55,0
2020-05-19,East of England,23,0
2020-05-19,London,4,0
2020-05-19,Midlands,22,0
2020-05-19,North East and Yorkshire,36,0
2020-05-19,North West,23,0
2020-05-19,Northern Ireland,16,0
2020-05-19,Scotland,42,0
2020-05-19,South East,3,0
2020-05-19,South West,12,0
2020-05-19,Wales,54,0
2020-05-20,East of England,9,0
2020-05-20,London,3,0
2020-05-20,Midlands,18,0
2020-05-20,North East and Yorkshire,14,0
2020-05-20,North West,11,0
2020-05-20,Northern Ireland,2,0
2020-05-20,Scotland,17,0
2020-05-20,South East,4,0
2020-05-20,South West,24,0
2020-05-20,Wales,60,0
2020-05-21,East of England,16,0
2020-05-21,London,3,0
2020-05-21,Midlands,24,0
2020-05-21,North East and Yorkshire,11,0
2020-05-21,Northern Ireland,7,0
2020-05-21,Scotland,28,0
2020-05-21,South East,4,0
2020-05-21,South West,5,0
2020-05-21,Wales,39,0
2020-05-22,East of England,16,0
2020-05-22,London,1,0
2020-05-22,Midlands,24,0
2020-05-22,North East and Yorkshire,20,0
2020-05-22,Northern Ireland,5,0
2020-05-22,Scotland,24,0
2020-05-22,South East,5,0
2020-05-22,South West,8,0
2020-05-22,Wales,43,0
2020-05-23,East of England,5,0
2020-05-23,Midlands,7,0
2020-05-23,North East and Yorkshire,4,0
2020-05-23,North West,3,0
2020-05-23,Northern Ireland,3,0
2020-05-23,Scotland,8,0
2020-05-23,South West,8,0
2020-05-23,Wales,27,0
2020-05-24,East of England,1,0
2020-05-24,Midlands,20,0
2020-05-24,North East and Yorkshire,7,0
2020-05-24,North West,2,0
2020-05-24,Scotland,7,0
2020-05-24,South East,2,0
2020-05-24,South West,1,0
2020-05-24,Wales,19,0
2020-05-25,East of England,15,0
2020-05-25,Midlands,22,0
2020-05-25,North East and Yorkshire,17,0
2020-05-25,North West,14,0
2020-05-25,Northern Ireland,4,0
2020-05-25,Scotland,14,0
2020-05-25,South East,6,0
2020-05-25,South West,5,0
2020-05-25,Wales,35,0
2020-05-26,East of England,11,0
2020-05-26,London,2,0
2020-05-26,Midlands,27,0
2020-05-26,North East and Yorkshire,16,0
2020-05-26,North West,12,0
2020-05-26,Northern Ireland,1,0
2020-05-26,Scotland,8,0
2020-05-26,South East,4,0
2020-05-26,South West,2,0
2020-05-26,Wales,35,0
2020-05-27,East of England,11,0
2020-05-27,London,1,0
2020-05-27,Midlands,31,0
2020-05-27,North East and Yorkshire,29,0
2020-05-27,North West,6,0
2020-05-27,Northern Ireland,2,0
2020-05-27,Scotland,13,0
2020-05-27,South West,1,0
2020-05-27,Wales,42,0
2020-05-28,East of England,11,0
2020-05-28,London,1,0
2020-05-28,Midlands,13,0
2020-05-28,North East and Yorkshire,18,0
2020-05-28,North West,2,0
2020-05-28,Northern Ireland,2,0
2020-05-28,Scotland,8,0
2020-05-28,South East,1,0
2020-05-28,South West,2,0
2020-05-28,Wales,39,0
2020-05-29,East of England,8,0
2020-05-29,Midlands,10,0
2020-05-29,North East and Yorkshire,10,0
2020-05-29,Northern Ireland,2,0
2020-05-29,Scotland,1,0
2020-05-29,South East,2,0
2020-05-29,South West,2,0
2020-05-29,Wales,31,0
2020-05-30,East of England,5,0
2020-05-30,Midlands,22,0
2020-05-30,North East and Yorkshire,16,0
2020-05-30,Northern Ireland,1,0
2020-05-30,Scotland,7,0
2020-05-30,South East,3,0
2020-05-30,South West,3,0
2020-05-30,Wales,24,0
2020-05-31,East of England,7,0
2020-05-31,Midlands,14,0
2020-05-31,North East and Yorkshire,4,0
2020-05-31,North West,3,0
2020-05-31,Scotland,8,0
2020-05-31,South East,3,0
2020-05-31,South West,7,0
